Sortorder,Code,CodeLevel,Level1,Level2,Level3,Level4,Level5,Level6
7270,"93",2,"R","93",,,,
7280,"931",3,"R","93","931",,,
7290,"9311",4,"R","93","931","9311",,
7300,"9312",4,"R","93","931","9312",,
7310,"9319",4,"R","93","931","9319",,
7320,"932",3,"R","93","932",,,
7330,"9321",4,"R","93","932","9321",,
7340,"9329",4,"R","93","932","9329",,
7350,"S",1,"S",,,,,
7360,"94",2,"S","94",,,,
7370,"941",3,"S","94","941",,,
7380,"9411",4,"S","94","941","9411",,
7390,"9412",4,"S","94","941","9412",,
7400,"942",3,"S","94","942",,,
7410,"9420",4,"S","94","942","9420",,
7420,"949",3,"S","94","949",,,
7430,"9491",4,"S","94","949","9491",,
7440,"9492",4,"S","94","949","9492",,
7450,"9499",4,"S","94","949","9499",,
7460,"95",2,"S","95",,,,
7470,"951",3,"S","95","951",,,
7480,"9511",4,"S","95","951","9511",,
7490,"9512",4,"S","95","951","9512",,
7500,"952",3,"S","95","952",,,
7510,"9521",4,"S","95","952","9521",,
7520,"9522",4,"S","95","952","9522",,
7530,"9523",4,"S","95","952","9523",,
7540,"9524",4,"S","95","952","9524",,
7550,"9529",4,"S","95","952","9529",,
7560,"96",2,"S","96",,,,
7570,"960",3,"S","96","960",,,
7580,"9601",4,"S","96","960","9601",,
7590,"9602",4,"S","96","960","9602",,
7600,"9603",4,"S","96","960","9603",,
7610,"9609",4,"S","96","960","9609",,
7620,"T",1,"T",,,,,
7630,"97",2,"T","97",,,,
7640,"970",3,"T","97","970",,,
7650,"9700",4,"T","97","970","9700",,
7660,"98",2,"T","98",,,,
7670,"981",3,"T","98","981",,,
7680,"9810",4,"T","98","981","9810",,
7690,"982",3,"T","98","982",,,
7700,"9820",4,"T","98","982","9820",,
7710,"U",1,"U",,,,,
7720,"99",2,"U","99",,,,
7730,"990",3,"U","99","990",,,
7740,"9900",4,"U","99","990","9900",,
